,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,0
10,0
11,0
12,0
13,1
14,0
15,0
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,0
27,0
28,0
29,1
30,0
31,1
32,0
33,1
34,1
35,1
36,0
37,0
38,1
39,1
40,0
41,0
42,1
43,1
44,0
45,0
46,1
47,0
48,1
49,0
50,1
51,1
52,1
53,1
54,1
55,0
56,1
57,0
58,0
59,0
60,1
61,1
62,0
63,0
64,0
65,1
66,1
67,1
68,0
69,1
70,0
71,1
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,1
83,1
84,0
85,1
86,0
87,1
88,0
89,1
90,0
91,0
92,1
93,1
94,0
95,1
96,0
97,1
98,1
99,1
100,1
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,1
110,1
111,0
112,0
113,1
114,0
115,1
116,1
117,0
118,1
119,0
120,1
121,1
122,0
123,0
124,1
125,1
126,1
127,0
128,0
129,0
130,1
131,1
132,1
133,1
134,0
135,1
136,1
137,0
138,0
139,0
140,0
141,0
142,0
143,1
144,0
145,1
146,1
147,1
148,1
149,1
150,1
151,0
152,0
153,0
154,1
155,1
156,1
157,1
158,1
159,0
160,1
161,0
162,0
163,1
164,1
165,1
166,0
167,1
168,0
169,0
170,1
171,0
172,0
173,1
174,0
175,0
176,1
177,1
178,1
179,0
180,1
181,1
182,1
183,0
184,0
185,0
186,1
187,1
188,0
189,0
190,1
191,1
192,0
193,0
194,0
195,1
196,1
197,1
198,1
199,0
200,0
201,1
202,1
203,0
204,0
205,1
206,1
207,0
208,1
209,1
210,0
211,0
212,0
213,1
214,1
215,0
216,1
217,0
218,1
219,0
220,0
221,0
222,1
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,1
234,0
235,0
236,1
237,1
238,1
239,0
240,1
241,0
242,1
243,1
244,0
245,0
246,0
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,0
256,1
257,1
258,1
259,1
260,0
261,1
262,0
263,1
264,0
265,0
266,1
267,0
268,1
269,0
270,0
271,0
272,0
273,1
274,1
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,1
287,0
288,0
289,0
290,0
291,0
292,0
293,1
294,1
295,0
296,1
297,1
298,1
299,0
300,1
301,1
302,1
303,0
304,1
305,1
306,0
307,0
308,0
309,1
310,0
311,1
312,1
313,1
314,1
315,1
316,0
317,1
318,0
319,1
320,0
321,1
322,0
323,1
324,1
325,0
326,1
327,1
328,1
329,0
330,1
331,0
332,1
333,0
334,0
335,0
336,0
337,1
338,1
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,1
348,0
349,0
350,0
351,1
352,0
353,0
354,1
355,0
356,1
357,1
358,0
359,0
360,0
361,0
362,1
363,1
364,1
365,0
366,1
367,0
368,1
369,0
370,1
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,1
379,0
380,0
381,1
382,0
383,0
384,0
385,0
386,1
387,0
388,1
389,0
390,0
391,0
392,1
393,1
394,1
395,0
396,0
397,1
398,1
399,0
400,1
401,0
402,0
403,0
404,0
405,1
406,1
407,1
408,0
409,1
410,1
411,1
412,1
413,1
414,0
415,1
416,0
417,0
418,0
419,1
420,0
421,1
422,1
423,1
424,1
425,0
426,0
427,1
428,0
429,1
430,1
431,1
432,1
433,0
434,0
435,1
436,1
437,1
438,1
439,1
440,0
441,1
442,1
443,1
444,1
445,0
446,1
447,1
448,0
449,0
450,0
451,0
452,0
453,1
454,0
455,0
456,1
457,1
458,0
459,0
460,0
461,0
462,0
463,0
464,1
465,1
466,1
467,0
468,1
469,0
470,0
471,1
472,1
473,1
474,0
475,0
476,0
477,0
478,1
479,0
480,1
481,0
482,0
483,0
484,1
485,1
486,0
487,1
488,0
489,1
490,1
491,0
492,0
493,0
494,1
495,0
496,0
497,1
498,1
499,1
500,0
501,0
502,1
503,1
504,0
505,0
506,0
507,0
508,0
509,0
510,1
511,1
512,1
513,0
514,1
515,0
516,1
517,1
518,1
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,1
527,0
528,1
529,0
530,0
531,0
532,0
